  1.08948800  1.10101800  1.00000000
  1.21280400  1.31361900  1.53295500
  1.34384200  1.45560400  1.28709500
  1.39250200  1.60997700  1.53141300
  1.45525300  1.68336400  1.58981900
  1.52698500  1.73006200  1.86636000
  1.58041300  1.78604600  1.94376300
  1.55565200  1.83882500  2.19986500
  1.61175700  1.86444000  2.41185500
  1.62267000  1.88563900  2.49870900
  1.65076700  1.93590300  2.75753700
  1.64825100  1.95157700  2.91479900
  1.63163400  1.97632900  3.02422500
  1.64295600  2.00035600  3.01709400
  1.62860900  2.00974100  3.11419600
  1.65129900  2.02794900  3.19882300
  1.67246100  2.04393700  3.33839100
  1.73024300  2.06663800  3.34229600
  1.71201800  2.07326600  3.38479000
  1.68825400  2.11171200  3.38106900
  1.74123700  2.12546800  3.39774200
  1.73556500  2.14991400  3.33322100
  1.76425800  2.15517100  3.41792600
  1.75188800  2.17467500  3.41880100
  1.76091400  2.17464400  3.51804700
  1.74701200  2.17132200  3.43357200
  1.75218400  2.20569100  3.44366400
  1.76232000  2.21172100  3.38902400
  1.76356400  2.19900300  3.48608400
  1.76831500  2.22251800  3.49627500
  1.75439100  2.21434100  3.48574900
  1.74174600  2.23402100  3.43828200
  1.77255100  2.24318600  3.38231700
  1.76812700  2.26650300  3.31865300
  1.76885400  2.28438800  3.39826500
  1.78676400  2.25137200  3.40909500
  1.82144500  2.23300700  3.35184200
  1.83505400  2.22292700  3.23913700
  1.79711600  2.24296100  3.32749500
  1.78689800  2.22939900  3.20346800
  1.78284600  2.22434400  3.19620400
  1.77069000  2.20917800  3.17441200
  1.75043100  2.18390100  3.13809100
  1.72206700  2.14851400  3.08724200
  1.68560000  2.10301600  3.02186600
  1.64102900  2.04740700  2.94196000
  1.58835400  1.98168800  2.84752700
  1.52757500  1.90585800  2.73856600
  1.45869200  1.81991800  2.61507600
  1.38170600  1.72386600  2.47705800
  1.29661500  1.61770400  2.32451200
  1.20342100  1.50143200  2.15743800
  1.10212300  1.37504900  1.97583500
  0.99272100  1.23855500  1.77970400
  0.87521500  1.09195100  1.56904600
  0.74960600  0.93523500  1.34385800
  0.61589200  0.76841000  1.10414300
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
  0.00000000  0.00000000  0.00000000
